,name,studio,series,combo,link
0,Bertrand Crawley,Marvel,,(Marvel),Bertrand Crawley (Marvel)
0,Crazy Eight,Marvel,Leslie Shappe,(Marvel)(Leslie Shappe),Crazy Eight (Marvel)(Leslie Shappe)
0,Crazy Eight,Marvel,MC2,(Marvel)(MC2),Crazy Eight (Marvel)(MC2)
0,Crazy Maisie,Marvel,,(Marvel),Crazy Maisie (Marvel)
0,Crazy Nate,Marvel,,(Marvel),Crazy Nate (Marvel)
0,Creature From Krogarr,Marvel,,(Marvel),Creature From Krogarr (Marvel)
0,Creed,Marvel,,(Marvel),Creed (Marvel)
0,Graydon Creed,Marvel,Animated,(Marvel)(Animated),Graydon Creed (Marvel)(Animated)
0,Graydon Creed,Marvel,Earth-2841,(Marvel)(Earth-2841),Graydon Creed (Marvel)(Earth-2841)
0,Creed,Marvel,Master Of Kung Fu,(Marvel)(Master Of Kung Fu),Creed (Marvel)(Master Of Kung Fu)
0,Graydon Creed,Marvel,Mutant X,(Marvel)(Mutant X),Graydon Creed (Marvel)(Mutant X)
0,Creel,Marvel,Movies,(Marvel)(Movies),Creel (Marvel)(Movies)
0,Creep,Marvel,,(Marvel),Creep (Marvel)
0,Creepy Crawler,Marvel,X-Babies,(Marvel)(X-Babies),Creepy Crawler (Marvel)(X-Babies)
0,John Crichton,Marvel,,(Marvel),John Crichton (Marvel)
0,Buster,Marvel,,(Marvel),Buster (Marvel)
0,Crimebuster,Marvel,,(Marvel),Crimebuster (Marvel)
0,Crimson,Marvel,01 - Ravens,(Marvel)(01 - Ravens),Crimson (Marvel)(01 - Ravens)
0,Crimson,Marvel,02 - Hulkbusters,(Marvel)(02 - Hulkbusters),Crimson (Marvel)(02 - Hulkbusters)
0,Crimson Commando,Marvel,,(Marvel),Crimson Commando (Marvel)
0,Crimson Commando,Marvel,02,(Marvel)(02),Crimson Commando (Marvel)(02)
0,Crimson Cowl,Marvel,Adventures,(Marvel)(Adventures),Crimson Cowl (Marvel)(Adventures)
0,Crimson Dynamo,Marvel,01 - Anton Vanko,(Marvel)(01 - Anton Vanko),Crimson Dynamo (Marvel)(01 - Anton Vanko)
0,Crimson Dynamo,Marvel,02 - Boris Turgenev,(Marvel)(02 - Boris Turgenev),Crimson Dynamo (Marvel)(02 - Boris Turgenev)
0,Crimson Dynamo,Marvel,03 - Alex Nevsky,(Marvel)(03 - Alex Nevsky),Crimson Dynamo (Marvel)(03 - Alex Nevsky)
0,Crimson Dynamo,Marvel,04 - Yuri Petrovich,(Marvel)(04 - Yuri Petrovich),Crimson Dynamo (Marvel)(04 - Yuri Petrovich)
0,Crimson Dynamo,Marvel,05 - Dimitri Bukharin,(Marvel)(05 - Dimitri Bukharin),Crimson Dynamo (Marvel)(05 - Dimitri Bukharin)
0,Crimson Dynamo,Marvel,06 - Valentin Shatalov,(Marvel)(06 - Valentin Shatalov),Crimson Dynamo (Marvel)(06 - Valentin Shatalov)
0,Crimson Dynamo,Marvel,07 - Unknown,(Marvel)(07 - Unknown),Crimson Dynamo (Marvel)(07 - Unknown)
0,Crimson Dynamo,Marvel,08 - Gennady Gavrilov,(Marvel)(08 - Gennady Gavrilov),Crimson Dynamo (Marvel)(08 - Gennady Gavrilov)
0,Crimson Dynamo,Marvel,09 - Secret War,(Marvel)(09 - Secret War),Crimson Dynamo (Marvel)(09 - Secret War)
0,Crimson Dynamo,Marvel,10 - Unknown,(Marvel)(10 - Unknown),Crimson Dynamo (Marvel)(10 - Unknown)
0,Crimson Dynamo,Marvel,11 - Alpha Gen,(Marvel)(11 - Alpha Gen),Crimson Dynamo (Marvel)(11 - Alpha Gen)
0,Crimson Dynamo,Marvel,12 - Boris Vadim,(Marvel)(12 - Boris Vadim),Crimson Dynamo (Marvel)(12 - Boris Vadim)
0,Crimson Dynamo,Marvel,13 - Galina Nemirovsky,(Marvel)(13 - Galina Nemirovsky),Crimson Dynamo (Marvel)(13 - Galina Nemirovsky)
0,Crimson Dynamo,Marvel,14 - Lev,(Marvel)(14 - Lev),Crimson Dynamo (Marvel)(14 - Lev)
0,Crimson Dynamo,Marvel,15 - Dark Ocean Society,(Marvel)(15 - Dark Ocean Society),Crimson Dynamo (Marvel)(15 - Dark Ocean Society)
0,Crimson Dynamo,Marvel,16 - Unknown,(Marvel)(16 - Unknown),Crimson Dynamo (Marvel)(16 - Unknown)
0,Crimson Dynamo,Marvel,17 - Unknown female,(Marvel)(17 - Unknown female),Crimson Dynamo (Marvel)(17 - Unknown female)
0,Crimson Dynamo,Marvel,Animated,(Marvel)(Animated),Crimson Dynamo (Marvel)(Animated)
0,Crimson Dynamo,Marvel,Heroes Reborn,(Marvel)(Heroes Reborn),Crimson Dynamo (Marvel)(Heroes Reborn)
0,Crimson Dynamo,Marvel,Super Hero Squad,(Marvel)(Super Hero Squad),Crimson Dynamo (Marvel)(Super Hero Squad)
0,Crimson Dynamo,Marvel,Ultimate,(Marvel)(Ultimate),Crimson Dynamo (Marvel)(Ultimate)
0,Crimson Dynamo,Marvel,Ultimate,(Marvel)(Ultimate),Crimson Dynamo (Marvel)(Ultimate)
0,Shantalov Crimson Dynamo,Marvel,Zombies,(Marvel)(Zombies),Shantalov Crimson Dynamo (Marvel)(Zombies)
0,Crippler,Marvel,,(Marvel),Crippler (Marvel)
0,Crippler,Marvel,Ultimate,(Marvel)(Ultimate),Crippler (Marvel)(Ultimate)
0,Cronus,Marvel,,(Marvel),Cronus (Marvel)
0,Lucas Cross,Marvel,,(Marvel),Lucas Cross (Marvel)
0,Crossbones,Marvel,,(Marvel),Crossbones (Marvel)
0,Crossbones,Marvel,House of M,(Marvel)(House of M),Crossbones (Marvel)(House of M)
0,Crossbones,Marvel,Movies,(Marvel)(Movies),Crossbones (Marvel)(Movies)
0,Crossbones,Marvel,Old Man Logan,(Marvel)(Old Man Logan),Crossbones (Marvel)(Old Man Logan)
0,Crossbones,Marvel,Red Skull,(Marvel)(Red Skull),Crossbones (Marvel)(Red Skull)
0,Crossbones,Marvel,Ultimate,(Marvel)(Ultimate),Crossbones (Marvel)(Ultimate)
0,Crossbones,Marvel,Venomverse,(Marvel)(Venomverse),Crossbones (Marvel)(Venomverse)
0,Crossbones,Marvel,Zombies,(Marvel)(Zombies),Crossbones (Marvel)(Zombies)
0,Crossfire,Marvel,,(Marvel),Crossfire (Marvel)
0,Crosta,Marvel,,(Marvel),Crosta (Marvel)
0,Crucible,Marvel,01 - Byron Calley,(Marvel)(01 - Byron Calley),Crucible (Marvel)(01 - Byron Calley)
0,Crucible,Marvel,,(Marvel),Crucible (Marvel)
0,Crucible,Marvel,Renew Your Vows,(Marvel)(Renew Your Vows),Crucible (Marvel)(Renew Your Vows)
0,Carmen Cruise,Marvel,,(Marvel),Carmen Cruise (Marvel)
0,Crusader,Marvel,01 - Thelius,(Marvel)(01 - Thelius),Crusader (Marvel)(01 - Thelius)
0,Crusader,Marvel,02 - Arthur Blackwood,(Marvel)(02 - Arthur Blackwood),Crusader (Marvel)(02 - Arthur Blackwood)
0,Crusader,Marvel,03 - Z'Reg,(Marvel)(03 - Z'Reg),Crusader (Marvel)(03 - Z'Reg)
0,Crusader,Marvel,Reality-9811 - What If,(Marvel)(Reality-9811 - What If),Crusader (Marvel)(Reality-9811 - What If)
0,Crush,Marvel,,(Marvel),Crush (Marvel)
0,Crusher,Marvel,,(Marvel),Crusher (Marvel)
0,Crusher,Marvel,,(Marvel),Crusher (Marvel)
0,Crux,Marvel,,(Marvel),Crux (Marvel)
0,Dante Cruz,Marvel,,(Marvel),Dante Cruz (Marvel)
0,Brian Cruz,Marvel,House of M,(Marvel)(House of M),Brian Cruz (Marvel)(House of M)
0,Cryan,Marvel,,(Marvel),Cryan (Marvel)
0,Evangeline Cryer,Marvel,,(Marvel),Evangeline Cryer (Marvel)
0,Cryptid,Marvel,,(Marvel),Cryptid (Marvel)
0,Crystal,Marvel,,(Marvel),Crystal (Marvel)
0,Crystal,Marvel,A-Force,(Marvel)(A-Force),Crystal (Marvel)(A-Force)
0,Crystal,Marvel,Age of Apocalypse,(Marvel)(Age of Apocalypse),Crystal (Marvel)(Age of Apocalypse)
0,Crystal,Marvel,Apes,(Marvel)(Apes),Crystal (Marvel)(Apes)
0,Crystal,Marvel,Earth-42777,(Marvel)(Earth-42777),Crystal (Marvel)(Earth-42777)
0,Crystal,Marvel,Earth-5692,(Marvel)(Earth-5692),Crystal (Marvel)(Earth-5692)
0,Crystal,Marvel,Kidz Water Hydrators,(Marvel)(Kidz Water Hydrators),Crystal (Marvel)(Kidz Water Hydrators)
0,Crystal,Marvel,Ultimate,(Marvel)(Ultimate),Crystal (Marvel)(Ultimate)
0,Crystal,Marvel,Zombies,(Marvel)(Zombies),Crystal (Marvel)(Zombies)
0,Cúchulain the Irish Wolfhound,Marvel,,(Marvel),Cúchulain the Irish Wolfhound (Marvel)
0,Cúchulain the Irish Wolfhound,Marvel,02,(Marvel)(02),Cúchulain the Irish Wolfhound (Marvel)(02)
0,Cuckoo,Marvel,Adventures,(Marvel)(Adventures),Cuckoo (Marvel)(Adventures)
0,Phoebe Cuckoo,Marvel,Earth-41001,(Marvel)(Earth-41001),Phoebe Cuckoo (Marvel)(Earth-41001)
0,Celeste Cuckoo,Marvel,House of M,(Marvel)(House of M),Celeste Cuckoo (Marvel)(House of M)
0,Esme Cuckoo,Marvel,House of M,(Marvel)(House of M),Esme Cuckoo (Marvel)(House of M)
0,Irma Cuckoo,Marvel,House of M,(Marvel)(House of M),Irma Cuckoo (Marvel)(House of M)
0,Phoebe Cuckoo,Marvel,House of M,(Marvel)(House of M),Phoebe Cuckoo (Marvel)(House of M)
0,Sophie Cuckoo,Marvel,House of M,(Marvel)(House of M),Sophie Cuckoo (Marvel)(House of M)
0,Celeste Cuckoo,Marvel,X-Men The End,(Marvel)(X-Men The End),Celeste Cuckoo (Marvel)(X-Men The End)
0,Cudgel,Marvel,,(Marvel),Cudgel (Marvel)
0,Cul,Marvel,,(Marvel),Cul (Marvel)
0,Culpepper,Marvel,,(Marvel),Culpepper (Marvel)
0,Cupid,Marvel,,(Marvel),Cupid (Marvel)
0,Warren Curazon,Marvel,,(Marvel),Warren Curazon (Marvel)
0,Cursed Cass,Marvel,,(Marvel),Cursed Cass (Marvel)
0,Curtis,Marvel,Prime Sentinel,(Marvel)(Prime Sentinel),Curtis (Marvel)(Prime Sentinel)
0,Rudy Custer,Marvel,,(Marvel),Rudy Custer (Marvel)
0,Cutter,Marvel,,(Marvel),Cutter (Marvel)
0,Cutthroat,Marvel,,(Marvel),Cutthroat (Marvel)
0,Cy,Marvel,,(Marvel),Cy (Marvel)
0,Cyanide,Marvel,,(Marvel),Cyanide (Marvel)
0,Cybelle,Marvel,,(Marvel),Cybelle (Marvel)
0,Cybelle,Marvel,,(Marvel),Cybelle (Marvel)
0,Cyber,Marvel,,(Marvel),Cyber (Marvel)
0,Cybertooth,Marvel,,(Marvel),Cybertooth (Marvel)
0,Cyborg,Marvel,,(Marvel),Cyborg (Marvel)
0,Cyborg X,Marvel,,(Marvel),Cyborg X (Marvel)
0,Cyclone,Marvel,01 - Horse,(Marvel)(01 - Horse),Cyclone (Marvel)(01 - Horse)
0,Cyclone,Marvel,,(Marvel),Cyclone (Marvel)
0,Cyclone,Marvel,03 - Gregory Stevens,(Marvel)(03 - Gregory Stevens),Cyclone (Marvel)(03 - Gregory Stevens)
0,Cyclone,Marvel,04 - Pierre Fresson,(Marvel)(04 - Pierre Fresson),Cyclone (Marvel)(04 - Pierre Fresson)
0,Cyclone,Marvel,Zombies,(Marvel)(Zombies),Cyclone (Marvel)(Zombies)
0,Cyclops,Marvel,01 - Olympian monster,(Marvel)(01 - Olympian monster),Cyclops (Marvel)(01 - Olympian monster)
0,Cyclops,Marvel,02 - A-Chiltarian Robot,(Marvel)(02 - A-Chiltarian Robot),Cyclops (Marvel)(02 - A-Chiltarian Robot)
0,Cyclops,Marvel,03 - Scott Summers,(Marvel)(03 - Scott Summers),Cyclops (Marvel)(03 - Scott Summers)
0,Cyclops,Marvel,Adventures,(Marvel)(Adventures),Cyclops (Marvel)(Adventures)
0,Cyclops,Marvel,Age of Apocalypse,(Marvel)(Age of Apocalypse),Cyclops (Marvel)(Age of Apocalypse)
0,Cyclops,Marvel,Animated,(Marvel)(Animated),Cyclops (Marvel)(Animated)
0,Cyclops,Marvel,Apes,(Marvel)(Apes),Cyclops (Marvel)(Apes)
0,Cyclops,Marvel,Days of Future Now,(Marvel)(Days of Future Now),Cyclops (Marvel)(Days of Future Now)
0,Cyclops,Marvel,E is for Extinction,(Marvel)(E is for Extinction),Cyclops (Marvel)(E is for Extinction)
0,Cyclops,Marvel,Earth X,(Marvel)(Earth X),Cyclops (Marvel)(Earth X)
0,Cyclops,Marvel,Earth-1191,(Marvel)(Earth-1191),Cyclops (Marvel)(Earth-1191)
0,Cyclops,Marvel,Earth-12101,(Marvel)(Earth-12101),Cyclops (Marvel)(Earth-12101)
0,Cyclops,Marvel,Earth-1815 - Exiles,(Marvel)(Earth-1815 - Exiles),Cyclops (Marvel)(Earth-1815 - Exiles)
0,Cyclops,Marvel,Earth-2182,(Marvel)(Earth-2182),Cyclops (Marvel)(Earth-2182)
0,Cyclops,Marvel,Earth-2189,(Marvel)(Earth-2189),Cyclops (Marvel)(Earth-2189)
0,Cyclops,Marvel,Earth-4400,(Marvel)(Earth-4400),Cyclops (Marvel)(Earth-4400)
0,Cyclops,Marvel,Earth-5692,(Marvel)(Earth-5692),Cyclops (Marvel)(Earth-5692)
0,Cyclops,Marvel,Earth-600123,(Marvel)(Earth-600123),Cyclops (Marvel)(Earth-600123)
0,Cyclops,Marvel,Earth-8545,(Marvel)(Earth-8545),Cyclops (Marvel)(Earth-8545)
0,Cyclops,Marvel,Earth-8649 - Exiles,(Marvel)(Earth-8649 - Exiles),Cyclops (Marvel)(Earth-8649 - Exiles)
0,Cyclops,Marvel,Earth-90210 - Old Man Logan,(Marvel)(Earth-90210 - Old Man Logan),Cyclops (Marvel)(Earth-90210 - Old Man Logan)
0,Cyclops,Marvel,Earth-90631 - Exiles,(Marvel)(Earth-90631 - Exiles),Cyclops (Marvel)(Earth-90631 - Exiles)
0,Cyclops,Marvel,Inferno,(Marvel)(Inferno),Cyclops (Marvel)(Inferno)
0,Cyclops,Marvel,Last Gun on Earth,(Marvel)(Last Gun on Earth),Cyclops (Marvel)(Last Gun on Earth)
0,Cyclops,Marvel,Mangaverse,(Marvel)(Mangaverse),Cyclops (Marvel)(Mangaverse)
0,Cyclops,Marvel,Mini Marvels,(Marvel)(Mini Marvels),Cyclops (Marvel)(Mini Marvels)
0,Cyclops,Marvel,Mutant X,(Marvel)(Mutant X),Cyclops (Marvel)(Mutant X)
0,Cyclops,Marvel,Noir,(Marvel)(Noir),Cyclops (Marvel)(Noir)
0,Cyclops,Marvel,Renew Your Vows,(Marvel)(Renew Your Vows),Cyclops (Marvel)(Renew Your Vows)
0,Cyclops,Marvel,Shadow-X,(Marvel)(Shadow-X),Cyclops (Marvel)(Shadow-X)
0,Cyclops,Marvel,Skrull imposter,(Marvel)(Skrull imposter),Cyclops (Marvel)(Skrull imposter)
0,Cyclops,Marvel,Super Hero Squad,(Marvel)(Super Hero Squad),Cyclops (Marvel)(Super Hero Squad)
0,Cyclops,Marvel,Ultimate,(Marvel)(Ultimate),Cyclops (Marvel)(Ultimate)
0,Cyclops,Marvel,X-Men The End,(Marvel)(X-Men The End),Cyclops (Marvel)(X-Men The End)
0,Cyclops,Marvel,Zombies,(Marvel)(Zombies),Cyclops (Marvel)(Zombies)
0,Cygnus,Marvel,,(Marvel),Cygnus (Marvel)
0,Cyke,Marvel,Astonishing X-Babies,(Marvel)(Astonishing X-Babies),Cyke (Marvel)(Astonishing X-Babies)
0,Cylla,Marvel,,(Marvel),Cylla (Marvel)
0,Cynas,Marvel,,(Marvel),Cynas (Marvel)
0,Cypher,Marvel,01 - Doug Ramsey,(Marvel)(01 - Doug Ramsey),Cypher (Marvel)(01 - Doug Ramsey)
0,Cypher,Marvel,,(Marvel),Cypher (Marvel)
0,Cypher,Marvel,Earth-8545,(Marvel)(Earth-8545),Cypher (Marvel)(Earth-8545)
0,Cypher,Marvel,,(Marvel),Cypher (Marvel)
0,Cypher,Marvel,Ultimate,(Marvel)(Ultimate),Cypher (Marvel)(Ultimate)
0,Cypher,Marvel,Zombies,(Marvel)(Zombies),Cypher (Marvel)(Zombies)
0,Cyr,Marvel,,(Marvel),Cyr (Marvel)
0,Cyra,Marvel,,(Marvel),Cyra (Marvel)
0,Cyrus,Marvel,Foolkiller,(Marvel)(Foolkiller),Cyrus (Marvel)(Foolkiller)
0,Cyttorak,Marvel,Adventures,(Marvel)(Adventures),Cyttorak (Marvel)(Adventures)
0,Czar,Marvel,,(Marvel),Czar (Marvel)
0,Doon,Marvel,,(Marvel),Doon (Marvel)
0,Charles Czarkowski,Marvel,,(Marvel),Charles Czarkowski (Marvel)
0,Man,Marvel,01 - Dennis Dunphy,(Marvel)(01 - Dennis Dunphy),Man (Marvel)(01 - Dennis Dunphy)
0,Man,Marvel,02 - Hob-Heroes,(Marvel)(02 - Hob-Heroes),Man (Marvel)(02 - Hob-Heroes)
0,Man,Marvel,Last Gun on Earth,(Marvel)(Last Gun on Earth),Man (Marvel)(Last Gun on Earth)
0,Ancanto,Marvel,,(Marvel),Ancanto (Marvel)
0,Angelo,Marvel,2099,(Marvel)(2099),Angelo (Marvel)(2099)
0,Angelo,Marvel,2099,(Marvel)(2099),Angelo (Marvel)(2099)
0,Aubigne,Marvel,,(Marvel),Aubigne (Marvel)
0,Kay,Marvel,,(Marvel),Kay (Marvel)
0,Ken,Marvel,Age of Apocalypse,(Marvel)(Age of Apocalypse),Ken (Marvel)(Age of Apocalypse)
0,Ken,Marvel,Animated,(Marvel)(Animated),Ken (Marvel)(Animated)
0,Keth,Marvel,,(Marvel),Keth (Marvel)
0,narda,Marvel,,(Marvel),narda (Marvel)
0,Daarroh,Marvel,,(Marvel),Daarroh (Marvel)
0,Daedalus,Marvel,,(Marvel),Daedalus (Marvel)
0,Daemon,Marvel,,(Marvel),Daemon (Marvel)
0,Daemond,Marvel,,(Marvel),Daemond (Marvel)
0,Daemos,Marvel,,(Marvel),Daemos (Marvel)
0,Dagda,Marvel,,(Marvel),Dagda (Marvel)
0,Dagger,Marvel,,(Marvel),Dagger (Marvel)
0,Dagger,Marvel,Adventures,(Marvel)(Adventures),Dagger (Marvel)(Adventures)
0,Dagger,Marvel,Age of Apocalypse,(Marvel)(Age of Apocalypse),Dagger (Marvel)(Age of Apocalypse)
0,Dagger,Marvel,Babies,(Marvel)(Babies),Dagger (Marvel)(Babies)
0,Dagger,Marvel,Last Gun on Earth,(Marvel)(Last Gun on Earth),Dagger (Marvel)(Last Gun on Earth)
0,Dagger,Marvel,League of Losers,(Marvel)(League of Losers),Dagger (Marvel)(League of Losers)
0,Dagger,Marvel,Mutant X,(Marvel)(Mutant X),Dagger (Marvel)(Mutant X)
0,Dagger,Marvel,Renew,(Marvel)(Renew),Dagger (Marvel)(Renew)
0,Dagger,Marvel,Runaways,(Marvel)(Runaways),Dagger (Marvel)(Runaways)
0,Dagger,Marvel,Ultimate,(Marvel)(Ultimate),Dagger (Marvel)(Ultimate)
0,Dagger,Marvel,Zombies,(Marvel)(Zombies),Dagger (Marvel)(Zombies)
0,Dagim,Marvel,,(Marvel),Dagim (Marvel)
0,Dagoth,Marvel,,(Marvel),Dagoth (Marvel)
0,Dahrev,Marvel,,(Marvel),Dahrev (Marvel)
0,Daia,Marvel,,(Marvel),Daia (Marvel)
0,Daisy,Marvel,,(Marvel),Daisy (Marvel)
0,Dak,Marvel,,(Marvel),Dak (Marvel)
0,Daken,Marvel,,(Marvel),Daken (Marvel)
0,Daken,Marvel,Last Gun on Earth,(Marvel)(Last Gun on Earth),Daken (Marvel)(Last Gun on Earth)
0,Dakini,Marvel,,(Marvel),Dakini (Marvel)
0,Abu Dakir,Marvel,,(Marvel),Abu Dakir (Marvel)
0,Charles Dalton,Marvel,,(Marvel),Charles Dalton (Marvel)
0,Damage,Marvel,,(Marvel),Damage (Marvel)
0,Damballah,Marvel,,(Marvel),Damballah (Marvel)
0,Damocles,Marvel,,(Marvel),Damocles (Marvel)
0,Danae,Marvel,,(Marvel),Danae (Marvel)
0,Lorna Dane,Marvel,,(Marvel),Lorna Dane (Marvel)
0,Danger,Marvel,,(Marvel),Danger (Marvel)
0,Danger,Marvel,Age Of X,(Marvel)(Age Of X),Danger (Marvel)(Age Of X)
0,Danger,Marvel,X-Treme X-Men,(Marvel)(X-Treme X-Men),Danger (Marvel)(X-Treme X-Men)
0,Danger Man,Marvel,,(Marvel),Danger Man (Marvel)
0,Dansen Macabre,Marvel,,(Marvel),Dansen Macabre (Marvel)
0,Dantella,Marvel,,(Marvel),Dantella (Marvel)
0,Carol Susan Jane Danvers,Marvel,,(Marvel),Carol Susan Jane Danvers (Marvel)
0,Carol Danvers,Marvel,1872,(Marvel)(1872),Carol Danvers (Marvel)(1872)
0,Carol Danvers,Marvel,Age Of Apocalypse,(Marvel)(Age Of Apocalypse),Carol Danvers (Marvel)(Age Of Apocalypse)
0,Carol Danvers,Marvel,Civil War,(Marvel)(Civil War),Carol Danvers (Marvel)(Civil War)
0,Carol Danvers,Marvel,Earth-721,(Marvel)(Earth-721),Carol Danvers (Marvel)(Earth-721)
0,Carol Danvers,Marvel,Ultimate,(Marvel)(Ultimate),Carol Danvers (Marvel)(Ultimate)
0,Bethany Danzinger,Marvel,,(Marvel),Bethany Danzinger (Marvel)
0,Dao,Marvel,,(Marvel),Dao (Marvel)
0,Daphne,mythology,,(mythology),Daphne (mythology)
0,Moloka Dar,Marvel,,(Marvel),Moloka Dar (Marvel)
0,John Darby,Marvel,,(Marvel),John Darby (Marvel)
0,Daredevil,Marvel,01 - Matt Murdock,(Marvel)(01 - Matt Murdock),Daredevil (Marvel)(01 - Matt Murdock)
0,Daredevil,Marvel,02 - Danny Rand,(Marvel)(02 - Danny Rand),Daredevil (Marvel)(02 - Danny Rand)
0,Daredevil,Marvel,2099,(Marvel)(2099),Daredevil (Marvel)(2099)
0,Daredevil,Marvel,2099,(Marvel)(2099),Daredevil (Marvel)(2099)
0,Daredevil,Marvel,Adventures,(Marvel)(Adventures),Daredevil (Marvel)(Adventures)
0,Daredevil,Marvel,Apes,(Marvel)(Apes),Daredevil (Marvel)(Apes)
0,Daredevil,Marvel,Days of Future Now,(Marvel)(Days of Future Now),Daredevil (Marvel)(Days of Future Now)
0,Daredevil,Marvel,Earth X,(Marvel)(Earth X),Daredevil (Marvel)(Earth X)
0,Daredevil,Marvel,Earth-12121,(Marvel)(Earth-12121),Daredevil (Marvel)(Earth-12121)
0,Daredevil,Marvel,Earth-181,(Marvel)(Earth-181),Daredevil (Marvel)(Earth-181)
0,Daredevil,Marvel,Earth-26292,(Marvel)(Earth-26292),Daredevil (Marvel)(Earth-26292)
0,Daredevil,Marvel,Earth-37072,(Marvel)(Earth-37072),Daredevil (Marvel)(Earth-37072)
0,Daredevil,Marvel,Earth-42777,(Marvel)(Earth-42777),Daredevil (Marvel)(Earth-42777)
0,Daredevil,Marvel,Earth-4400,(Marvel)(Earth-4400),Daredevil (Marvel)(Earth-4400)
0,Daredevil,Marvel,Earth-666 - Undead,(Marvel)(Earth-666 - Undead),Daredevil (Marvel)(Earth-666 - Undead)
0,Daredevil,Marvel,Earth-8545,(Marvel)(Earth-8545),Daredevil (Marvel)(Earth-8545)
0,Daredevil,Marvel,Earth-9904 - 1950s Avengers,(Marvel)(Earth-9904 - 1950s Avengers),Daredevil (Marvel)(Earth-9904 - 1950s Avengers)
0,Daredevil,Marvel,Earth-9939 - 2020,(Marvel)(Earth-9939 - 2020),Daredevil (Marvel)(Earth-9939 - 2020)
0,Daredevil,Marvel,Last Gun on Earth,(Marvel)(Last Gun on Earth),Daredevil (Marvel)(Last Gun on Earth)
0,Daredevil,Marvel,Mangaverse,(Marvel)(Mangaverse),Daredevil (Marvel)(Mangaverse)
0,Daredevil,Marvel,Mini Marvels,(Marvel)(Mini Marvels),Daredevil (Marvel)(Mini Marvels)
0,Daredevil,Marvel,Mitey 'vengers,(Marvel)(Mitey 'vengers),Daredevil (Marvel)(Mitey 'vengers)
0,Daredevil,Marvel,Movies,(Marvel)(Movies),Daredevil (Marvel)(Movies)
0,Daredevil,Marvel,Mutant X,(Marvel)(Mutant X),Daredevil (Marvel)(Mutant X)
0,Daredevil,Marvel,Noir,(Marvel)(Noir),Daredevil (Marvel)(Noir)
0,Daredevil,Marvel,Old Man Logan,(Marvel)(Old Man Logan),Daredevil (Marvel)(Old Man Logan)
0,Daredevil,Marvel,Old Man Logan,(Marvel)(Old Man Logan),Daredevil (Marvel)(Old Man Logan)
0,Daredevil,Marvel,Skrull imposter,(Marvel)(Skrull imposter),Daredevil (Marvel)(Skrull imposter)
0,Daredevil,Marvel,,(Marvel),Daredevil (Marvel)
0,Daredevil,Marvel,Timeslip,(Marvel)(Timeslip),Daredevil (Marvel)(Timeslip)
0,Daredevil,Marvel,Ultimate,(Marvel)(Ultimate),Daredevil (Marvel)(Ultimate)
0,Daredevil,Marvel,Ultimate,(Marvel)(Ultimate),Daredevil (Marvel)(Ultimate)
0,Daredevil,Marvel,Venomverse,(Marvel)(Venomverse),Daredevil (Marvel)(Venomverse)
0,Daredevil,Marvel,,(Marvel),Daredevil (Marvel)
0,Daredevil,Marvel,Zombies,(Marvel)(Zombies),Daredevil (Marvel)(Zombies)
0,Daria,Marvel,,(Marvel),Daria (Marvel)
0,Darien,Marvel,,(Marvel),Darien (Marvel)
0,Darius,Marvel,,(Marvel),Darius (Marvel)
0,Dark Angel,Marvel,01 - Mia Lessing,(Marvel)(01 - Mia Lessing),Dark Angel (Marvel)(01 - Mia Lessing)
0,Dark Angel,Marvel,02 - Shevaun Haldane,(Marvel)(02 - Shevaun Haldane),Dark Angel (Marvel)(02 - Shevaun Haldane)
0,Dark Angel,Marvel,03 - Kathisul Evin,(Marvel)(03 - Kathisul Evin),Dark Angel (Marvel)(03 - Kathisul Evin)
0,Dark Angel,Marvel,,(Marvel),Dark Angel (Marvel)
0,Dark Angel,Marvel,Shadow-X,(Marvel)(Shadow-X),Dark Angel (Marvel)(Shadow-X)
0,Dark Beast,Marvel,Age of Apocalypse,(Marvel)(Age of Apocalypse),Dark Beast (Marvel)(Age of Apocalypse)
0,Dark Beast,Marvel,X-Babies,(Marvel)(X-Babies),Dark Beast (Marvel)(X-Babies)
0,Dark Man,Marvel,,(Marvel),Dark Man (Marvel)
0,Dark Phoenix,Marvel,,(Marvel),Dark Phoenix (Marvel)
0,Dark Phoenix,Marvel,Animated,(Marvel)(Animated),Dark Phoenix (Marvel)(Animated)
0,Dark Phoenix,Marvel,Earth-90210 - Old Man Logan,(Marvel)(Earth-90210 - Old Man Logan),Dark Phoenix (Marvel)(Earth-90210 - Old Man Logan)
0,Dark Rider,Marvel,,(Marvel),Dark Rider (Marvel)
0,Darkchild,Marvel,Inferno,(Marvel)(Inferno),Darkchild (Marvel)(Inferno)
0,Darkchylde,Marvel,,(Marvel),Darkchylde (Marvel)
0,Darkhawk,Marvel,01 - Chris Powell,(Marvel)(01 - Chris Powell),Darkhawk (Marvel)(01 - Chris Powell)
0,Darkhawk,Marvel,02 - Chase Stein,(Marvel)(02 - Chase Stein),Darkhawk (Marvel)(02 - Chase Stein)
0,Darkhawk,Marvel,House of M,(Marvel)(House of M),Darkhawk (Marvel)(House of M)
0,Darkhawk,Marvel,Last Gun on Earth,(Marvel)(Last Gun on Earth),Darkhawk (Marvel)(Last Gun on Earth)
0,Darkhawk,Marvel,League of Losers,(Marvel)(League of Losers),Darkhawk (Marvel)(League of Losers)
